date,symbol,marketcapname,sector
26-06-2025 7:30 pm,THOMASCOTT,Smallcap,Consumer Discretionary
29-06-2025 7:30 pm,ARVEE,Smallcap,Chemicals
29-06-2025 7:30 pm,PAVNAIND,Smallcap,Auto
30-06-2025 7:30 pm,INNOVANA,Smallcap,I.T
02-07-2025 7:30 pm,UNIVPHOTO,Smallcap,Consumer Discretionary
03-07-2025 7:30 pm,MAZDA,Smallcap,Industrials
03-07-2025 7:30 pm,VASWANI,Smallcap,Metals & Mining
06-07-2025 7:30 pm,JITFINFRA,Smallcap,Miscellaneous
07-07-2025 7:30 pm,NDLVENTURE,Smallcap,Financials
10-07-2025 7:30 pm,GLENMARK,Largecap,Healthcare
15-07-2025 7:30 pm,SAMPANN,Smallcap,FMCG
15-07-2025 7:30 pm,SMSLIFE,Smallcap,Healthcare
16-07-2025 7:30 pm,IXIGO,Midcap,I.T
17-07-2025 7:30 pm,INDOUS,Smallcap,FMCG
21-07-2025 7:30 pm,SWELECTES,Smallcap,Industrials
21-07-2025 7:30 pm,ETERNAL,Largecap,I.T
22-07-2025 7:30 pm,INFOBEAN,Smallcap,I.T
23-07-2025 7:30 pm,SENORES,Smallcap,Healthcare
23-07-2025 7:30 pm,POCL,Smallcap,Metals & Mining
23-07-2025 7:30 pm,INFOBEAN,Smallcap,I.T
24-07-2025 7:30 pm,KELLTONTEC,Smallcap,I.T
27-07-2025 7:30 pm,ACMESOLAR,Midcap,Realty
28-07-2025 7:30 pm,PUNJABCHEM,Smallcap,Chemicals
29-07-2025 7:30 pm,BLISSGVS,Smallcap,Healthcare
29-07-2025 7:30 pm,VISHNU,Smallcap,Chemicals
30-07-2025 7:30 pm,HPIL,Smallcap,Chemicals
04-08-2025 7:30 pm,GODFRYPHLP,Largecap,FMCG
04-08-2025 7:30 pm,SANOFICONR,Midcap,Healthcare
05-08-2025 7:30 pm,AJMERA,Smallcap,Realty
05-08-2025 7:30 pm,TRANSRAILL,Midcap,Realty
06-08-2025 7:30 pm,RAIN,Smallcap,Miscellaneous
07-08-2025 7:30 pm,DMCC,Smallcap,Chemicals
10-08-2025 7:30 pm,HARIOMPIPE,Smallcap,Metals & Mining
10-08-2025 7:30 pm,HBLENGINE,Largecap,Auto
10-08-2025 7:30 pm,UNIPARTS,Smallcap,Industrials
10-08-2025 7:30 pm,YATRA,Smallcap,I.T
10-08-2025 7:30 pm,BALAXI,Smallcap,Healthcare
11-08-2025 7:30 pm,NDLVENTURE,Smallcap,Financials
11-08-2025 7:30 pm,GANDHITUBE,Smallcap,Metals & Mining
11-08-2025 7:30 pm,DDEVPLSTIK,Smallcap,Chemicals
11-08-2025 7:30 pm,YATRA,Smallcap,I.T
11-08-2025 7:30 pm,APEX,Smallcap,FMCG
12-08-2025 7:30 pm,NDLVENTURE,Smallcap,Financials
12-08-2025 7:30 pm,LANDMARK,Smallcap,Consumer Discretionary
12-08-2025 7:30 pm,NSLNISP,Midcap,Metals & Mining
12-08-2025 7:30 pm,INDOAMIN,Smallcap,Chemicals
12-08-2025 7:30 pm,PREMEXPLN,Smallcap,Chemicals
12-08-2025 7:30 pm,HONASA,Midcap,Services
12-08-2025 7:30 pm,AARVI,Smallcap,Miscellaneous
12-08-2025 7:30 pm,NYKAA,Largecap,I.T
13-08-2025 7:30 pm,EKC,Smallcap,Industrials
13-08-2025 7:30 pm,ARIES,Smallcap,Chemicals
13-08-2025 7:30 pm,MUTHOOTFIN,Largecap,Financials
17-08-2025 7:30 pm,PENIND,Smallcap,Metals & Mining
17-08-2025 7:30 pm,RISHABH,Smallcap,Industrials
17-08-2025 7:30 pm,ZAGGLE,Smallcap,I.T
17-08-2025 7:30 pm,SIGNPOST,Smallcap,Miscellaneous
